SKU,Name,AroniumPrice,AppPrice,AroniumTax,AppTax,AroniumStock,AppStock,Status,Diff
10428,Chikafu Starter Crumbs 50kg,30.00,30.00,0,0,0.0,0.0,OK,
10429,Carbaryl 85 200g (Agricura),3.00,3.00,0,0,0.0,0.0,OK,
10430,Vitafor,4.00,4.00,0,0,0.0,0.0,OK,
10431,Reusable Syringe 10ml,10.00,10.00,15.5,15.5,0.0,185.0,OK,
10432,Reusable Syringe 20mls,12.00,12.00,15.5,15.5,0.0,0.0,OK,
10434,Valbazem Sheep& Goat 500mls,12.00,12.00,0,0,0.0,0.0,OK,
10435,Intermectin Injection 50mls,6.00,6.00,0,0,0.0,0.0,OK,
10436,Benvet 500mls,12.00,12.00,0,0,0.0,0.0,OK,
10437,Benvet 1Litre,23.00,23.00,0,0,0.0,0.0,OK,
10438,Terramycin Spray 150ml,15.00,15.00,0,0,0.0,0.0,OK,
10439,Vaccine Coolerbox 7litres,10.00,10.00,15.5,15.5,0.0,0.0,OK,
10440,Butasal 100mls,10.00,10.00,0,0,0.0,0.0,OK,
10441,Intertocin 50mls,15.00,15.00,0,0,0.0,0.0,OK,
10442,Pig Grower Conce 5kg,6.00,6.00,0,0,0.0,85.0,OK,
10443,Vitol 450 100mls,22.00,22.00,0,0,0.0,0.0,OK,
10444,Bio-Odo-guard 500g,3.00,3.00,0,0,0.0,0.0,OK,
10445,Intertrim WS 480 (Satchet),9.00,9.00,0,0,0.0,0.0,OK,
10447,CHICKEN DRINKER -8 LITRES,7.00,7.00,15.5,15.5,0.0,0.0,OK,
10448,Capsulated lamb holder,2.00,2.00,15.5,15.5,0.0,0.0,OK,
10449,CHICKEN FEEDER -1 KG,1.50,1.50,15.5,15.5,0.0,1.0,OK,
10450,Digital Thermometer,2.00,2.00,15.5,15.5,0.0,5.0,OK,
10451,Chlorpyrifos 500ml,7.00,7.00,0,0,0.0,0.0,OK,
10452,Mancozeb 80WP (0.5KG),3.00,3.00,0,0,0.0,0.0,OK,
10453,Abamectin 1.8EC(0.1L),1.50,1.50,0,0,0.0,40.0,OK,
10454,Carbaryl 85wp(0.2kg) Fossil,4.00,4.00,0,0,0.0,0.0,OK,
10455,Nemesis 25mls,1.00,1.00,0,0,0.0,0.0,OK,
10456,Force Plus (0.5)L,10.50,10.50,0,0,0.0,0.0,OK,
10457,Force Plus(0.1L),2.60,2.60,15.5,15.5,0.0,0.0,OK,
10458,DIMETHOATE 500MLS- FOSSIL,7.00,7.00,0,0,0.0,0.0,OK,
10459,GP Gumshoes,12.00,12.00,15.5,15.5,0.0,0.0,OK,
10460,Wilbait 50g,3.00,3.00,15.5,15.5,0.0,7.0,OK,
10461,Ashboost 1kg,35.00,35.00,0,0,0.0,0.0,OK,
10462,Ashtyl 20%1kg,35.00,35.00,0,0,0.0,0.0,OK,
10463,Small Plastic Crates,3.50,3.50,15.5,15.5,0.0,0.0,OK,
10464,Valbazen for Goats 500mls,9.00,9.00,0,0,0.0,0.0,OK,
10465,Valbazen for Cattle 500mls,12.00,12.00,0,0,0.0,0.0,OK,
